City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
516,Kiama,AU,80.08,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
517,Kudahuvadhoo,MV,79.79,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
521,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
524,Bella Union,UY,76.75,overcast clouds,-30.2752,-57.6007,Saville Free Shop
527,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
531,Bambanglipuro,ID,85.75,overcast clouds,-7.95,110.2833,Puri Brata
537,Lahaina,US,77.0,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
542,Labuhan,ID,84.78,moderate rain,-6.8844,112.2051,DoubleFAG
545,Ballina,AU,75.24,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
548,Gualeguaychu,AR,75.04,light rain,-33.0094,-58.5172,Hotel Los Angeles
549,Chateaubelair,VC,75.81,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
554,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
563,Ternate,ID,85.77,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
566,Santa Fe,AR,78.01,light rain,-31.6333,-60.7,Conquistador Hotel
569,Caravelas,BR,75.0,light rain,-17.7125,-39.2481,Pousada dos Navegantes
572,Augusto Correa,BR,75.47,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
587,La Orilla,MX,75.04,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
590,Sampit,ID,77.72,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
597,Kismayo,SO,77.27,broken clouds,-0.3582,42.5454,Agan-Hotel
598,Champerico,GT,82.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
599,Piacabucu,BR,79.47,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
601,Gua Musang,MY,81.01,overcast clouds,4.8823,101.9644,Mines Inn Hotel
607,Singapore,SG,86.81,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
610,Basco,PH,75.33,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
611,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
616,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
620,Bagua Grande,PE,77.2,light rain,-5.7561,-78.4411,HOTELNIEVA
623,Pemangkat,ID,82.6,few clouds,1.1667,108.9667,Ramah Kost KITA
634,Namibe,AO,75.47,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
645,Bubaque,GW,79.57,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
650,Tabou,CI,76.78,clear sky,4.423,-7.3528,hotêl doufoulougou
654,Batemans Bay,AU,87.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
655,Ko Samui,TH,84.11,few clouds,9.5357,99.9357,The Passage
662,San Policarpo,PH,80.22,overcast clouds,12.1791,125.5072,Agapita M. Nicart
666,Vila Velha,BR,75.43,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
667,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
678,Kapit,MY,85.26,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
685,Bundaberg,AU,86.29,broken clouds,-24.85,152.35,Takalvan Motel
688,Kokopo,PG,86.29,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
690,Padang,ID,79.9,overcast clouds,-0.9492,100.3543,Mercure Padang
