City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,East London,ZA,-33.0153,27.9116,70.74,94,75,3.44,broken clouds
84,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,96,10.65,overcast clouds
85,Safford,US,32.834,-109.7076,54.52,32,0,13.8,clear sky
86,Busselton,AU,-33.65,115.3333,73.09,43,14,7.81,few clouds
87,Cap Malheureux,MU,-19.9842,57.6142,78.48,65,1,1.99,clear sky
88,Tutoia,BR,-2.7619,-42.2744,84.18,84,85,11.72,overcast clouds
89,Tessalit,ML,20.1986,1.0114,60.73,18,100,12.57,overcast clouds
90,Ponta Do Sol,PT,32.6667,-17.1,61.72,67,37,8.21,scattered clouds
91,Vilyuysk,RU,63.7553,121.6247,-11.58,97,86,6.67,overcast clouds
92,Norman Wells,CA,65.282,-126.8329,35.91,82,100,18.9,overcast clouds
93,Blackwater,AU,-23.5833,148.8833,86.85,46,100,11.72,overcast clouds
94,Mizque,BO,-17.941,-65.3402,61.72,81,100,3.51,overcast clouds
95,Portland,US,45.5234,-122.6762,41.9,74,20,1.99,few clouds
96,Upernavik,GL,72.7868,-56.1549,-0.35,94,98,6.85,overcast clouds
97,Kapaa,US,22.0752,-159.319,78.78,69,20,4.0,few clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,75.31,91,0,16.98,clear sky
99,Shelekhov,RU,52.2139,104.1,-4.63,95,82,1.28,broken clouds
100,Barrow,US,71.2906,-156.7887,-7.58,77,100,25.32,snow
101,Corona,US,33.8753,-117.5664,63.07,63,0,3.44,clear sky
102,Esperance,AU,-33.8667,121.9,69.57,72,73,14.67,broken clouds
103,Saint-Philippe,RE,-21.3585,55.7679,74.75,66,97,11.3,overcast clouds
104,Carnarvon,AU,-24.8667,113.6333,84.27,54,0,18.41,clear sky
105,Ahipara,NZ,-35.1667,173.1667,76.14,70,8,9.15,clear sky
106,Chicama,PE,-7.8447,-79.1469,68.54,75,54,5.28,broken clouds
107,Makakilo City,US,21.3469,-158.0858,79.12,56,20,3.44,few clouds
108,Hamilton,US,39.1834,-84.5333,21.83,66,0,4.0,clear sky
109,Obregon,NI,11.9566,-85.9636,78.26,72,21,9.44,few clouds
110,Bonavista,CA,48.6499,-53.1147,28.11,65,100,10.47,overcast clouds
